요금제명,단위서비스,출시월,기본ARPU,기본회선수,월성장률
5G 프리미엄 월정액,DATA001,2025-02,"75,000원","1,200개",+15.0%
5G 무제한 플러스,DATA002,2025-01,"68,000원","2,100개",+12.0%
5G 비즈니스 프로,DATA003,2025-03,"95,000원",800개,+20.0%
5G 가족 무제한,DATA004,2025-02,"58,000원","3,200개",+8.0%
5G 청소년 스페셜,DATA005,2025-04,"42,000원","1,500개",+25.0%
5G 시니어 케어,DATA006,2025-01,"38,000원",900개,+5.0%
5G 학생 할인,DATA007,2025-03,"35,000원","2,800개",+18.0%
5G 직장인 플랜,DATA008,2025-02,"52,000원","1,800개",+10.0%
5G 엔터프라이즈,DATA009,2025-01,"120,000원",450개,+15.0%
5G 소상공인 지원,DATA010,2025-04,"45,000원","1,200개",+22.0%
LTE 무제한 월정액,VOICE001,2025-01,"45,000원","3,500개",-2.0%
LTE 프리미엄 플러스,VOICE002,2025-01,"55,000원","2,800개",-1.0%
LTE 가족 패키지,VOICE003,2025-01,"38,000원","4,200개",+1.0%
LTE 비즈니스 베이직,VOICE004,2025-01,"48,000원","1,600개",+3.0%
LTE 청소년 요금제,VOICE005,2025-01,"32,000원","2,200개",-5.0%
IoT 센서 월정액,IOT001,2025-01,"8,000원","1,200개",+30.0%
스마트홈 연결료,IOT002,2025-02,"6,500원",900개,+22.0%
차량용 단말 월정액,AUTO001,2025-04,"12,000원",600개,+45.0%
산업용 IoT 월정액,IOT003,2025-03,"15,000원",400개,+35.0%
농업 IoT 서비스,AGRI001,2025-02,"9,500원",350개,+40.0%
물류 추적 서비스,TRACK001,2025-03,"11,000원",280개,+50.0%
스마트미터 서비스,METER001,2025-01,"5,500원",800개,+25.0%
보안카메라 연결료,CAM001,2025-04,"7,800원",450개,+38.0%
드론 통신 서비스,DRONE001,2025-05,"18,000원",120개,+60.0%
스마트 팩토리,FACTORY001,2025-02,"25,000원",200개,+42.0%
기업전용 패키지 월정액,BUSI001,2025-01,"120,000원",800개,+8.0%
기업 전용선 월정액,CORP001,2025-01,"180,000원",450개,+5.0%
VPN 서비스 월정액,VPN001,2025-03,"95,000원",320개,+25.0%
클라우드 연결 서비스,CLOUD001,2025-02,"65,000원",280개,+28.0%
보안솔루션 월정액,SEC001,2025-01,"95,000원",220개,+12.0%
영상회의 서비스,CONF001,2025-02,"45,000원",600개,+35.0%
서버 호스팅 서비스,HOST001,2025-01,"85,000원",180개,+15.0%
백업 솔루션 서비스,BACKUP001,2025-03,"55,000원",150개,+20.0%
방화벽 서비스,FW001,2025-02,"75,000원",120개,+18.0%
모니터링 서비스,MON001,2025-04,"38,000원",200개,+25.0%
컬러링 서비스,ADDON001,2025-01,"3,000원","3,200개",-2.0%
통화대기 서비스,ADDON002,2025-01,"2,500원","2,800개",-3.0%
음성사서함 서비스,ADDON003,2025-01,"2,800원","2,500개",-1.0%
번호이동 서비스,PORT001,2025-01,"1,500원","1,800개",+5.0%
스팸차단 서비스,SEC002,2025-02,"3,500원","2,200개",+15.0%
안심귀가 서비스,SAFE001,2025-03,"4,200원","1,500개",+20.0%
위치정보 서비스,LOC001,2025-01,"3,800원","1,800개",+8.0%
클라우드 백업 서비스,CLOUD002,2025-01,"4,500원","1,500개",+10.0%
벨소리 다운로드,ADDON004,2025-01,"1,200원","4,500개",-8.0%
통화녹음 서비스,ADDON005,2025-02,"3,200원","1,200개",+12.0%
재난안전 서비스,EMRG001,2025-01,"8,500원",500개,+18.0%
응급신고 서비스,EMRG002,2025-02,"6,800원",300개,+25.0%
교육용 태블릿 월정액,EDU001,2025-03,"25,000원",800개,+30.0%
의료진 전용 서비스,MED001,2025-01,"45,000원",250개,+22.0%
택시 호출 서비스,TAXI001,2025-04,"12,000원",600개,+35.0%
배달 서비스 연동,DELIV001,2025-02,"8,500원","1,200개",+40.0%
공공 WiFi 서비스,WIFI001,2025-01,"5,500원","2,000개",+15.0%
관광 안내 서비스,TOUR001,2025-05,"6,200원",400개,+50.0%
번역 서비스,TRANS001,2025-03,"4,800원",300개,+28.0%
날씨 알림 서비스,WEATHER001,2025-01,"2,500원","3,500개",+5.0%
스마트파킹 서비스 1,PARK001,2025-02,"7,744원",262개,+24.1%
스마트파킹 서비스 2,PARK002,2025-02,"6,572원",281개,+20.1%
스마트파킹 서비스 3,PARK003,2025-03,"8,681원",380개,+35.7%
스마트파킹 서비스 4,PARK004,2025-02,"7,318원",325개,+40.7%
스마트파킹 서비스 5,PARK005,2025-02,"7,429원",282개,+51.1%
스마트가로등 서비스 1,LIGHT001,2025-01,"3,998원",915개,+23.9%
스마트가로등 서비스 2,LIGHT002,2025-02,"3,613원",834개,+19.8%
스마트가로등 서비스 3,LIGHT003,2025-01,"3,945원",704개,+10.7%
스마트가로등 서비스 4,LIGHT004,2025-01,"4,346원","1,014개",+17.6%
스마트가로등 서비스 5,LIGHT005,2025-04,"3,828원",896개,+27.6%
대기질 모니터링 1,AIR001,2025-04,"6,941원",155개,+16.3%
대기질 모니터링 2,AIR002,2025-02,"8,903원",249개,+15.8%
대기질 모니터링 3,AIR003,2025-02,"7,169원",189개,+18.7%
대기질 모니터링 4,AIR004,2025-01,"7,457원",212개,+22.9%
대기질 모니터링 5,AIR005,2025-01,"8,186원",164개,+27.2%
교통정보 서비스 1,TRAFFIC001,2025-03,"6,480원",401개,+15.9%
교통정보 서비스 2,TRAFFIC002,2025-02,"8,158원",394개,+17.7%
교통정보 서비스 3,TRAFFIC003,2025-03,"6,750원",507개,+21.7%
교통정보 서비스 4,TRAFFIC004,2025-03,"7,919원",639개,+22.5%
교통정보 서비스 5,TRAFFIC005,2025-01,"5,486원",555개,+41.4%
스마트 쓰레기통 1,WASTE001,2025-01,"4,374원",362개,+13.6%
스마트 쓰레기통 2,WASTE002,2025-03,"5,434원",333개,+12.1%
스마트 쓰레기통 3,WASTE003,2025-02,"4,246원",320개,+21.3%
스마트 쓰레기통 4,WASTE004,2025-02,"5,542원",501개,+15.3%
스마트 쓰레기통 5,WASTE005,2025-04,"4,788원",411개,+13.7%
원격진료 서비스 1,HEALTH001,2025-01,"34,776원",168개,+40.5%
원격진료 서비스 2,HEALTH002,2025-04,"34,476원",140개,+37.9%
원격진료 서비스 3,HEALTH003,2025-03,"33,355원",149개,+42.0%
원격진료 서비스 4,HEALTH004,2025-04,"32,414원",146개,+25.8%
원격진료 서비스 5,HEALTH005,2025-02,"30,725원",122개,+40.0%
건강모니터링 서비스 1,VITAL001,2025-04,"26,975원",180개,+24.9%
건강모니터링 서비스 2,VITAL002,2025-02,"24,822원",243개,+58.8%
건강모니터링 서비스 3,VITAL003,2025-02,"25,539원",170개,+39.9%
건강모니터링 서비스 4,VITAL004,2025-01,"27,096원",146개,+42.8%
건강모니터링 서비스 5,VITAL005,2025-02,"31,663원",181개,+41.2%
응급호출 서비스 1,SOS001,2025-03,"14,521원",116개,+22.5%
응급호출 서비스 2,SOS002,2025-04,"13,307원",106개,+31.1%
응급호출 서비스 3,SOS003,2025-02,"16,799원",92개,+47.3%
응급호출 서비스 4,SOS004,2025-04,"17,799원",100개,+33.7%
응급호출 서비스 5,SOS005,2025-04,"12,935원",93개,+22.8%
복약알림 서비스 1,MEDICINE001,2025-03,"8,404원",288개,+37.3%
복약알림 서비스 2,MEDICINE002,2025-04,"10,183원",306개,+15.8%
복약알림 서비스 3,MEDICINE003,2025-01,"7,867원",252개,+29.1%
복약알림 서비스 4,MEDICINE004,2025-03,"9,161원",363개,+15.1%
복약알림 서비스 5,MEDICINE005,2025-03,"7,088원",336개,+21.8%
모바일 결제 서비스 1,PAY001,2025-02,"10,199원","1,555개",+37.8%
모바일 결제 서비스 2,PAY002,2025-01,"11,913원","1,945개",+20.7%
모바일 결제 서비스 3,PAY003,2025-01,"11,166원","1,841개",+38.6%
모바일 결제 서비스 4,PAY004,2025-03,"13,891원","1,668개",+23.6%
모바일 결제 서비스 5,PAY005,2025-02,"10,122원","2,370개",+29.3%
블록체인 인증 1,BLOCK001,2025-02,"27,987원",79개,+58.4%
블록체인 인증 2,BLOCK002,2025-04,"20,552원",73개,+65.4%
블록체인 인증 3,BLOCK003,2025-04,"20,215원",115개,+50.9%
블록체인 인증 4,BLOCK004,2025-03,"29,043원",72개,+28.5%
블록체인 인증 5,BLOCK005,2025-04,"25,009원",112개,+44.9%
디지털 신원증명 1,ID001,2025-03,"15,920원",147개,+23.7%
디지털 신원증명 2,ID002,2025-03,"19,637원",175개,+52.2%
디지털 신원증명 3,ID003,2025-01,"19,618원",126개,+21.4%
디지털 신원증명 4,ID004,2025-01,"15,905원",144개,+23.3%
디지털 신원증명 5,ID005,2025-03,"17,202원",106개,+36.7%
게임 전용 회선 1,GAME001,2025-02,"44,440원",592개,+27.1%
게임 전용 회선 2,GAME002,2025-04,"44,442원",846개,+37.1%
게임 전용 회선 3,GAME003,2025-02,"39,416원",910개,+33.8%
게임 전용 회선 4,GAME004,2025-03,"38,776원",835개,+22.3%
게임 전용 회선 5,GAME005,2025-04,"46,054원",894개,+33.7%
스트리밍 최적화 1,STREAM001,2025-02,"36,110원","1,386개",+21.2%
스트리밍 최적화 2,STREAM002,2025-03,"37,528원","1,214개",+10.1%
스트리밍 최적화 3,STREAM003,2025-03,"30,626원","1,332개",+23.9%
스트리밍 최적화 4,STREAM004,2025-02,"34,035원","1,155개",+29.1%
스트리밍 최적화 5,STREAM005,2025-01,"41,061원","1,273개",+21.4%
VR/AR 서비스 1,VR001,2025-01,"59,556원",261개,+75.5%
VR/AR 서비스 2,VR002,2025-04,"54,551원",363개,+68.4%
VR/AR 서비스 3,VR003,2025-03,"64,932원",284개,+40.1%
VR/AR 서비스 4,VR004,2025-04,"52,144원",292개,+84.8%
VR/AR 서비스 5,VR005,2025-04,"58,190원",320개,+57.7%
